epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,10969.1,0.59501,0.37834,0.82505,0.99941,1,0.995,0.8859,0.55287,0.34016,0.84329,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,11224.5,0.61609,0.36591,0.81477,0.99939,1,0.995,0.88977,0.51565,0.32172,0.84404,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,11943.7,0.60238,0.37538,0.80417,0.99942,1,0.995,0.89046,0.51773,0.31902,0.84111,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,12202.4,0.61351,0.38281,0.82313,0.99936,1,0.995,0.88622,0.51401,0.34249,0.8365,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,12458.8,0.59538,0.36559,0.82539,0.99934,1,0.995,0.8994,0.51172,0.33085,0.83046,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,12717.3,0.62087,0.3768,0.80386,0.99931,1,0.995,0.87718,0.5224,0.33535,0.83583,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,14862.9,0.59919,0.36543,0.80846,0.99932,1,0.995,0.89461,0.49506,0.33938,0.82288,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,15118.8,0.59919,0.37086,0.81397,0.99917,1,0.995,0.90013,0.46951,0.33217,0.82813,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,15377.7,0.54931,0.37121,0.80692,0.9988,1,0.995,0.89306,0.4752,0.33509,0.82469,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,15634.9,0.57044,0.3696,0.80277,0.99889,1,0.995,0.90192,0.49129,0.32344,0.82572,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,15890.2,0.50947,0.343,0.8024,0.99903,1,0.995,0.907,0.46682,0.3257,0.82028,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,16146.9,0.53142,0.34307,0.80568,0.99886,1,0.995,0.90862,0.46495,0.3323,0.81601,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,16403,0.55459,0.35346,0.80759,0.99864,1,0.995,0.91145,0.41403,0.31024,0.81362,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,16657.5,0.5455,0.35107,0.80374,0.9988,1,0.995,0.90917,0.44605,0.32595,0.81763,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,16897,0.52376,0.34435,0.80933,0.99915,1,0.995,0.91825,0.40321,0.30594,0.81531,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,17156,0.51755,0.33832,0.80037,0.99931,1,0.995,0.91887,0.41706,0.30137,0.81487,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,17413,0.4861,0.33004,0.79938,0.99913,1,0.995,0.91372,0.43458,0.31447,0.81309,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,17672.5,0.5016,0.33274,0.79738,0.99926,1,0.995,0.91432,0.40021,0.28714,0.81301,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,17930.3,0.50341,0.33398,0.79937,0.99935,1,0.995,0.91796,0.38171,0.28548,0.81282,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
